"arc_length","Points:0","Points:1","Points:2"
0,-9.14e-05,0.030362,-0.015178
2.1552e-05,-9.14e-05,0.030384,-0.015178
5.2421e-05,-9.14e-05,0.03038,-0.015148
0.0034356,-9.14e-05,0.029971,-0.011789
0.0050077,-9.14e-05,0.030342,-0.010262
0.0069025,-9.14e-05,0.030842,-0.0084344
0.010617,-9.14e-05,0.033654,-0.0060076
0.01097,-9.14e-05,0.033899,-0.0057524
0.011101,-9.14e-05,0.033974,-0.005645
0.014932,-9.14e-05,0.035232,-0.0020266
0.015247,-9.14e-05,0.035301,-0.0017199
0.016031,-9.14e-05,0.035329,-0.00093615
0.019269,-9.14e-05,0.035259,0.0023012
0.020815,-9.14e-05,0.034722,0.0037511
0.023172,-9.14e-05,0.033608,0.0058281
0.026677,-9.14e-05,0.031082,0.0082577
0.026728,-9.14e-05,0.031046,0.0082938
0.026784,-9.14e-05,0.031029,0.0083474
0.030366,-9.14e-05,0.029831,0.011723
0.033575,-9.14e-05,0.030392,0.014882
0.033924,-9.14e-05,0.030451,0.015226
0.036351,-9.14e-05,0.028024,0.015176
0.036684,-9.14e-05,0.027691,0.015184
0.037321,-9.14e-05,0.027055,0.015152
0.039711,-9.14e-05,0.024668,0.015024
0.042199,-9.14e-05,0.022182,0.014944
0.042262,-9.14e-05,0.022119,0.014941
0.04556,-9.14e-05,0.018821,0.014999
0.045786,-9.14e-05,0.018595,0.014999
0.046008,-9.14e-05,0.018373,0.014998
0.049253,-9.14e-05,0.015128,0.014977
0.050313,-9.14e-05,0.014069,0.01501
0.053459,-9.14e-05,0.010923,0.01509
0.054271,-9.14e-05,0.010111,0.015106
0.057266,-9.14e-05,0.0071183,0.015187
0.058441,-9.14e-05,0.0059426,0.015205
0.060267,-9.14e-05,0.0041174,0.015219
0.062951,-9.14e-05,0.0014333,0.015243
0.062969,-9.14e-05,0.0014155,0.015243
0.063102,-9.14e-05,0.0014154,0.01511
0.065486,-9.14e-05,0.0014131,0.012725
0.065676,-9.14e-05,0.0014126,0.012536
0.066121,-9.14e-05,0.0014117,0.012091
0.069254,-9.14e-05,0.0013907,0.0089581
0.070946,-9.14e-05,0.0013735,0.0072663
0.071776,-9.14e-05,0.001366,0.0064358
0.074296,-9.14e-05,0.0013709,0.0039166
0.074767,-9.14e-05,0.0013706,0.0034447
0.076534,-9.14e-05,0.0013737,0.0016781
0.078424,-9.14e-05,0.0013708,-0.00021158
0.078807,-9.14e-05,0.0013674,-0.00059463
0.079843,-9.14e-05,0.001348,-0.0016311
0.082645,-9.14e-05,0.0012663,-0.0044312
0.083947,-9.14e-05,0.0012379,-0.0057337
0.086385,-9.14e-05,0.0011587,-0.0081702
0.088027,-9.14e-05,0.0011266,-0.0098112
0.089827,-9.14e-05,0.0010873,-0.011612
0.092689,-9.14e-05,0.0010443,-0.014473
0.092824,-9.14e-05,0.0010421,-0.014608
0.093884,-9.14e-05,0.0021011,-0.014625
0.095403,-9.14e-05,0.0036204,-0.014648
0.095531,-9.14e-05,0.0037486,-0.01465
0.095838,-9.14e-05,0.0040558,-0.014655
0.099129,-9.14e-05,0.0073455,-0.014704
0.10088,-9.14e-05,0.0090984,-0.014702
0.10167,-9.14e-05,0.0098883,-0.014704
0.10422,-9.14e-05,0.012435,-0.014664
0.1047,-9.14e-05,0.012919,-0.014663
0.10661,-9.14e-05,0.014823,-0.014624
0.10841,-9.14e-05,0.016627,-0.014602
0.10876,-9.14e-05,0.016979,-0.014597
0.10972,-9.14e-05,0.01794,-0.014588
0.11255,-9.14e-05,0.020761,-0.014652
0.1138,-9.14e-05,0.022017,-0.014662
0.116,-9.14e-05,0.024194,-0.014973
0.11758,-9.14e-05,0.025767,-0.015148
0.11926,-9.14e-05,0.027439,-0.015178
0.12218,-9.14e-05,0.030362,-0.015178
