name,size,step,x,y,z,vertex
bezier2,4,5000,10.022531,-1.81321365e-07,0.0127491557,5
bezier2,6,5000,10.0548201,-3.46786613e-06,0.0300301144,7
bezier2,8,5000,10.0930723,-8.45043731e-08,0.050172262,9
bezier2,10,5000,10.1258408,-1.59409318e-06,0.0677401187,11
bezier2,12,5000,10.1477177,2.28418574e-06,0.079505587,13
bezier2,14,5000,10.1612237,-2.41424684e-06,0.0867454081,15
bezier2,16,5000,10.1704902,3.72327295e-07,0.0917451032,17
bezier2,18,5000,10.1774618,-1.68854642e-06,0.0955180018,19
bezier2,20,5000,10.1825935,-5.65501904e-06,0.0982986152,21
optdkt,4,5000,10.0874289,1.34705492e-05,0.0491410992,5
optdkt,6,5000,10.139639,1.12979765e-05,0.0766750128,7
optdkt,8,5000,10.164146,6.81917061e-06,0.0890733839,9
optdkt,10,5000,10.1741588,8.80760855e-06,0.0938204592,11
optdkt,12,5000,10.1782108,1.3599257e-05,0.0955396581,13
optdkt,14,5000,10.1812794,1.0918114e-05,0.0969529614,15
optdkt,16,5000,10.1834237,8.60799068e-06,0.0979113275,17
optdkt,18,5000,10.1851605,7.265018e-06,0.0987390695,19
optdkt,20,5000,10.1868496,7.67850724e-06,0.0996269946,21
