# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 97 
0.00	-0.00013563 0.015 -6.63758e-05
0.01	-0.000135608 0.0151512 -6.60723e-05	
0.02	-0.000133472 0.0153747 -6.38351e-05	
0.03	-0.000130659 0.0156316 -6.30564e-05	
0.04	-0.00012893 0.0158934 -6.38942e-05	
0.05	-0.000127535 0.0161526 -6.58488e-05	
0.06	-0.000129437 0.0163917 -7.14738e-05	
0.07	-0.000135236 0.0166041 -7.96086e-05	
0.08	-0.000142176 0.0167845 -9.06127e-05	
0.09	-0.000149599 0.0169311 -0.000102664	
0.1	-0.000156766 0.0170462 -0.000115249	
0.11	-0.000163594 0.0171332 -0.000127025	
0.12	-0.000169932 0.0171965 -0.000137045	
0.13	-0.000175709 0.0172407 -0.000144636	
0.14	-0.000180936 0.0172699 -0.000149608	
0.15	-0.000185609 0.0172879 -0.000152065	
0.16	-0.00018971 0.0172977 -0.000152325	
0.17	-0.00019322 0.017302 -0.000150738	
0.18	-0.000196138 0.0173029 -0.000147691	
0.19	-0.000198479 0.0173017 -0.000143675	
0.2	-0.000200252 0.0172998 -0.000139082	
0.21	-0.000201413 0.0172979 -0.000134317	
0.22	-0.000201977 0.0172965 -0.000129675	
0.23	-0.000201991 0.0172958 -0.000125366	
0.24	-0.000201529 0.017296 -0.000121521	
0.25	-0.000200681 0.017297 -0.000118207	
0.26	-0.000199548 0.0172988 -0.00011544	
0.27	-0.000198226 0.0173011 -0.000113199	
0.28	-0.000196804 0.0173038 -0.000111438	
0.29	-0.000195358 0.0173068 -0.000110094	
0.3	-0.00019395 0.0173099 -0.0001091	
0.31	-0.000192627 0.017313 -0.000108388	
0.32	-0.000191422 0.017316 -0.000107894	
0.33	-0.000190363 0.0173188 -0.000107557	
0.34	-0.000189454 0.0173213 -0.000107341	
0.35	-0.000188688 0.0173236 -0.000107197	
0.36	-0.000188061 0.0173257 -0.000107098	
0.37	-0.000187551 0.0173274 -0.000107024	
0.38	-0.000187143 0.017329 -0.000106955	
0.39	-0.000186821 0.0173303 -0.000106884	
0.4	-0.000186567 0.0173315 -0.000106806	
0.41	-0.000186367 0.0173325 -0.000106721	
0.42	-0.000186207 0.0173334 -0.00010663	
0.43	-0.000186077 0.0173342 -0.000106535	
0.44	-0.000185968 0.0173349 -0.00010644	
0.45	-0.000185872 0.0173356 -0.000106349	
0.46	-0.000185784 0.0173362 -0.000106264	
0.47	-0.000185701 0.0173368 -0.000106188	
0.48	-0.000185622 0.0173374 -0.000106124	
0.49	-0.000185544 0.0173379 -0.000106072	
0.5	-0.000185468 0.0173385 -0.000106033	
0.51	-0.000185394 0.017339 -0.000106008	
0.52	-0.000185323 0.0173395 -0.000105996	
0.53	-0.000185255 0.01734 -0.000105996	
0.54	-0.00018519 0.0173405 -0.000106008	
0.55	-0.000185131 0.017341 -0.00010603	
0.56	-0.000185077 0.0173415 -0.000106061	
0.57	-0.000185029 0.017342 -0.0001061	
0.58	-0.000184986 0.0173424 -0.000106146	
0.59	-0.000184949 0.0173429 -0.000106196	
0.6	-0.000184918 0.0173433 -0.000106251	
0.61	-0.000184893 0.0173437 -0.000106309	
0.62	-0.000184873 0.0173441 -0.000106369	
0.63	-0.000184857 0.0173445 -0.00010643	
0.64	-0.000184846 0.0173448 -0.000106492	
0.65	-0.000184838 0.0173452 -0.000106554	
0.66	-0.000184833 0.0173455 -0.000106615	
0.67	-0.000184832 0.0173458 -0.000106675	
0.68	-0.000184832 0.0173461 -0.000106733	
0.69	-0.000184835 0.0173463 -0.00010679	
0.7	-0.000184839 0.0173466 -0.000106845	
0.71	-0.000184845 0.0173468 -0.000106897	
0.72	-0.000184851 0.0173471 -0.000106947	
0.73	-0.000184858 0.0173473 -0.000106994	
0.74	-0.000184866 0.0173475 -0.000107039	
0.75	-0.000184874 0.0173476 -0.00010708	
0.76	-0.000184879 0.0173478 -0.000107121	
0.77	-0.000184884 0.017348 -0.000107157	
0.78	-0.000184893 0.0173481 -0.00010719	
0.79	-0.000184898 0.0173483 -0.000107223	
0.8	-0.000184904 0.0173484 -0.00010725	
0.81	-0.000184911 0.0173485 -0.000107276	
0.82	-0.000184917 0.0173486 -0.000107298	
0.83	-0.000184924 0.0173487 -0.000107319	
0.84	-0.000184931 0.0173488 -0.000107335	
0.85	-0.000184938 0.0173489 -0.000107351	
0.86	-0.000184946 0.0173489 -0.000107363	
0.87	-0.000184953 0.017349 -0.000107373	
0.88	-0.000184961 0.0173491 -0.000107381	
0.89	-0.000184968 0.0173491 -0.000107388	
0.9	-0.000184976 0.0173492 -0.000107391	
0.91	-0.000184983 0.0173492 -0.000107394	
0.92	-0.000184991 0.0173493 -0.000107394	
0.93	-0.000184998 0.0173493 -0.000107394	
0.94	-0.000185006 0.0173493 -0.000107392	
0.95	-0.000185014 0.0173494 -0.000107389	
0.96	-0.000185022 0.0173494 -0.000107384	
0.97	-0.000185029 0.0173494 -0.00010738	
0.98	-0.000185037 0.0173494 -0.000107373	
0.99	-0.000185045 0.0173494 -0.000107367	
1	-0.000185053 0.0173495 -0.000107359	
1.01	-0.000185061 0.0173495 -0.000107352	
1.02	-0.00018507 0.0173495 -0.000107344	
1.03	-0.000185078 0.0173495 -0.000107336	
1.04	-0.000185086 0.0173495 -0.000107327	
1.05	-0.000185094 0.0173495 -0.000107319	
1.06	-0.000185103 0.0173495 -0.00010731	
1.07	-0.000185111 0.0173496 -0.000107302	
1.08	-0.00018512 0.0173496 -0.000107293	
1.09	-0.000185129 0.0173496 -0.000107285	
1.1	-0.000185137 0.0173496 -0.000107277	
1.11	-0.000185146 0.0173496 -0.000107269	
1.12	-0.000185155 0.0173496 -0.000107261	
1.13	-0.000185163 0.0173496 -0.000107255	
1.14	-0.000185171 0.0173496 -0.000107248	
1.15	-0.00018518 0.0173496 -0.000107242	
1.16	-0.000185188 0.0173496 -0.000107236	
1.17	-0.000185196 0.0173496 -0.000107231	
1.18	-0.000185204 0.0173497 -0.000107226	
1.19	-0.000185212 0.0173497 -0.000107222	
1.2	-0.00018522 0.0173497 -0.000107217	
1.21	-0.000185227 0.0173497 -0.000107215	
