"arc_length","Points:0","Points:1","Points:2"
0.017951,0,0.015155,-0.0074206
0.017951,0,0.015156,-0.0074206
0.017951,0,0.015156,-0.0074203
0.018939,0,0.015112,-0.0064335
0.01909,0,0.015091,-0.0062838
0.020113,0,0.014962,-0.005269
0.020219,0,0.014973,-0.0051642
0.02131,0,0.015419,-0.0041684
0.021338,0,0.015432,-0.0041432
0.022364,0,0.015872,-0.0032162
0.02253,0,0.015924,-0.0030593
0.023276,0,0.016104,-0.0023347
0.023713,0,0.016195,-0.0019079
0.024107,0,0.016266,-0.0015199
0.024474,0,0.016309,-0.0011553
0.024899,0,0.016337,-0.00073123
0.02561,0,0.016369,-2.0664e-05
0.025767,0,0.01637,0.0001361
0.025856,0,0.016366,0.00022481
0.026774,0,0.016308,0.0011405
0.027583,0,0.01617,0.0019382
0.027618,0,0.016164,0.0019727
0.028572,0,0.015934,0.0028982
0.028791,0,0.015871,0.0031079
0.029901,0,0.015438,0.0041305
0.029932,0,0.015423,0.0041579
0.031008,0,0.014979,0.0051373
0.031137,0,0.01497,0.005266
0.032146,0,0.015072,0.0062707
0.032296,0,0.015091,0.0064189
0.033298,-2.1176e-22,0.015135,0.0074202
0.0333,0,0.015135,0.0074221
0.033303,0,0.015132,0.0074222
0.034225,0,0.014211,0.0074646
0.034703,0,0.013734,0.007491
0.035329,0,0.013108,0.0075007
0.035912,0,0.012525,0.0074818
0.036441,0,0.011997,0.0074694
0.037619,0,0.010819,0.0074481
0.037935,0,0.010502,0.0074455
0.038808,0,0.0096298,0.0074434
0.039868,0,0.0085697,0.00744
0.040234,0,0.0082037,0.0074405
0.041307,0,0.0071306,0.0074546
0.042044,2.7105e-20,0.0063941,0.007465
0.044137,-5.421e-20,0.0043009,0.0074706
0.044474,0,0.0039634,0.0074714
0.044911,0,0.0035268,0.0074709
0.04817,0,0.00026818,0.0074837
0.051123,0,0.00027823,0.0045306
0.051225,0,0.00027818,0.0044278
0.055587,0,0.00027965,6.6469e-05
0.055662,0,0.00027997,-8.4913e-06
0.055737,0,0.00027959,-8.3811e-05
0.060083,0,0.00027901,-0.00443
0,0,0.00027901,-0.00443
0.00013282,0,0.000279,-0.0045628
0.0030561,0,0.00026627,-0.0074861
0.0065446,0,0.0037548,-0.0074834
0.0067256,0,0.0039358,-0.0074829
0.0068667,0,0.0040768,-0.0074821
0.0091546,0,0.0063647,-0.0074618
0.009327,0,0.0065371,-0.0074602
0.010924,-5.421e-20,0.0081338,-0.0074481
0.011379,0,0.0085886,-0.0074437
0.012678,0,0.0098878,-0.0074543
0.013268,0,0.010478,-0.0074603
0.0135,0,0.01071,-0.0074633
0.014773,0,0.011983,-0.0074533
0.015297,0,0.012506,-0.0074903
0.015895,0,0.013103,-0.0075153
0.016546,0,0.013755,-0.0075105
0.017016,0,0.014224,-0.0074982
