# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 97 
0.00	-0.00013563 0.015 -6.63758e-05
0.01	-0.000135661 0.0151499 -6.6367e-05	
0.02	-0.000135811 0.0153701 -6.64508e-05	
0.03	-0.000135706 0.0155865 -6.71382e-05	
0.04	-0.000135215 0.0157618 -6.72134e-05	
0.05	-0.000135032 0.0158905 -6.7192e-05	
0.06	-0.000134737 0.0159832 -6.73485e-05	
0.07	-0.00013438 0.016052 -6.73001e-05	
0.08	-0.000134016 0.0161044 -6.72148e-05	
0.09	-0.000133662 0.0161456 -6.71561e-05	
0.1	-0.000133571 0.0161785 -6.70413e-05	
0.11	-0.000133714 0.0162052 -6.68786e-05	
0.12	-0.000133882 0.0162273 -6.67423e-05	
0.13	-0.000134035 0.0162458 -6.66438e-05	
0.14	-0.000134157 0.0162613 -6.65831e-05	
0.15	-0.000134289 0.0162744 -6.66552e-05	
0.16	-0.000134426 0.0162855 -6.68302e-05	
0.17	-0.000134544 0.016295 -6.70285e-05	
0.18	-0.00013464 0.0163031 -6.72349e-05	
0.19	-0.000134717 0.0163101 -6.74411e-05	
0.2	-0.000134776 0.0163162 -6.76454e-05	
0.21	-0.000134822 0.0163214 -6.78455e-05	
0.22	-0.000134856 0.016326 -6.80425e-05	
0.23	-0.000134883 0.01633 -6.82349e-05	
0.24	-0.000134897 0.0163334 -6.84253e-05	
0.25	-0.000134904 0.0163365 -6.86084e-05	
0.26	-0.000134905 0.0163392 -6.87897e-05	
0.27	-0.000134902 0.0163415 -6.89654e-05	
0.28	-0.000134894 0.0163436 -6.9134e-05	
0.29	-0.000134885 0.0163455 -6.92976e-05	
0.3	-0.000134873 0.0163471 -6.9455e-05	
0.31	-0.000134861 0.0163486 -6.96056e-05	
0.32	-0.000134849 0.0163499 -6.97517e-05	
0.33	-0.000134838 0.016351 -6.9895e-05	
0.34	-0.000134827 0.0163521 -7.00283e-05	
0.35	-0.000134817 0.016353 -7.01592e-05	
0.36	-0.000134808 0.0163538 -7.02822e-05	
0.37	-0.0001348 0.0163546 -7.03986e-05	
0.38	-0.000134793 0.0163553 -7.05085e-05	
0.39	-0.000134788 0.0163559 -7.06119e-05	
0.4	-0.000134784 0.0163565 -7.07089e-05	
0.41	-0.000134781 0.016357 -7.07995e-05	
0.42	-0.000134779 0.0163574 -7.08836e-05	
0.43	-0.000134778 0.0163579 -7.09614e-05	
0.44	-0.000134779 0.0163582 -7.10328e-05	
0.45	-0.00013478 0.0163586 -7.10979e-05	
0.46	-0.000134783 0.0163589 -7.11568e-05	
0.47	-0.000134786 0.0163592 -7.12097e-05	
0.48	-0.00013479 0.0163594 -7.12566e-05	
0.49	-0.000134795 0.0163597 -7.12977e-05	
0.5	-0.0001348 0.0163599 -7.13332e-05	
0.51	-0.000134805 0.0163601 -7.13632e-05	
0.52	-0.000134811 0.0163603 -7.1388e-05	
0.53	-0.000134817 0.0163604 -7.14077e-05	
0.54	-0.000134823 0.0163606 -7.14226e-05	
0.55	-0.000134829 0.0163607 -7.14329e-05	
0.56	-0.000134835 0.0163608 -7.14388e-05	
0.57	-0.000134842 0.0163609 -7.14407e-05	
0.58	-0.000134848 0.016361 -7.14387e-05	
0.59	-0.000134854 0.0163611 -7.14331e-05	
0.6	-0.00013486 0.0163612 -7.14243e-05	
0.61	-0.000134866 0.0163613 -7.14123e-05	
0.62	-0.000134871 0.0163613 -7.13975e-05	
0.63	-0.000134877 0.0163614 -7.13802e-05	
0.64	-0.000134882 0.0163614 -7.1361e-05	
0.65	-0.000134886 0.0163615 -7.13408e-05	
0.66	-0.000134888 0.0163615 -7.13196e-05	
0.67	-0.000134891 0.0163616 -7.1298e-05	
0.68	-0.000134892 0.0163616 -7.12761e-05	
0.69	-0.000134894 0.0163616 -7.12541e-05	
0.7	-0.000134895 0.0163617 -7.12321e-05	
0.71	-0.000134897 0.0163617 -7.12101e-05	
0.72	-0.000134898 0.0163617 -7.11883e-05	
0.73	-0.000134899 0.0163618 -7.11667e-05	
0.74	-0.000134899 0.0163618 -7.11455e-05	
0.75	-0.0001349 0.0163618 -7.11248e-05	
0.76	-0.0001349 0.0163619 -7.11036e-05	
0.77	-0.0001349 0.0163619 -7.10844e-05	
0.78	-0.000134901 0.0163619 -7.10651e-05	
0.79	-0.0001349 0.0163619 -7.10457e-05	
0.8	-0.0001349 0.016362 -7.10281e-05	
0.81	-0.0001349 0.016362 -7.101e-05	
0.82	-0.0001349 0.016362 -7.09937e-05	
0.83	-0.000134899 0.016362 -7.09769e-05	
0.84	-0.0001349 0.016362 -7.09622e-05	
0.85	-0.000134899 0.0163621 -7.0947e-05	
0.86	-0.000134899 0.0163621 -7.0934e-05	
0.87	-0.000134898 0.0163621 -7.09204e-05	
0.88	-0.000134898 0.0163621 -7.09092e-05	
0.89	-0.000134897 0.0163621 -7.08972e-05	
0.9	-0.000134897 0.0163622 -7.08876e-05	
0.91	-0.000134896 0.0163622 -7.08773e-05	
0.92	-0.000134895 0.0163622 -7.08691e-05	
0.93	-0.000134894 0.0163622 -7.08604e-05	
0.94	-0.000134893 0.0163622 -7.08537e-05	
0.95	-0.000134891 0.0163622 -7.08463e-05	
0.96	-0.00013489 0.0163623 -7.08411e-05	
0.97	-0.000134889 0.0163623 -7.08354e-05	
0.98	-0.000134888 0.0163623 -7.08316e-05	
0.99	-0.000134887 0.0163623 -7.08276e-05	
1	-0.000134886 0.0163623 -7.08253e-05	
1.01	-0.000134885 0.0163623 -7.08227e-05	
1.02	-0.000134883 0.0163623 -7.08221e-05	
1.03	-0.000134882 0.0163624 -7.08209e-05	
1.04	-0.00013488 0.0163624 -7.08217e-05	
1.05	-0.000134878 0.0163624 -7.08218e-05	
1.06	-0.000134875 0.0163624 -7.08241e-05	
1.07	-0.000134874 0.0163624 -7.08253e-05	
1.08	-0.000134871 0.0163624 -7.0829e-05	
1.09	-0.000134869 0.0163624 -7.08315e-05	
1.1	-0.000134866 0.0163624 -7.08365e-05	
1.11	-0.000134863 0.0163625 -7.084e-05	
1.12	-0.00013486 0.0163625 -7.0846e-05	
1.13	-0.000134858 0.0163625 -7.08503e-05	
1.14	-0.000134854 0.0163625 -7.08572e-05	
1.15	-0.000134852 0.0163625 -7.08623e-05	
1.16	-0.000134849 0.0163625 -7.08697e-05	
1.17	-0.000134847 0.0163625 -7.08752e-05	
1.18	-0.000134844 0.0163626 -7.0883e-05	
1.19	-0.000134842 0.0163626 -7.08888e-05	
1.2	-0.000134838 0.0163626 -7.08968e-05	
1.21	-0.000134836 0.0163626 -7.09027e-05	
1.22	-0.000134833 0.0163626 -7.09108e-05	
1.23	-0.000134831 0.0163626 -7.09168e-05	
1.24	-0.000134828 0.0163626 -7.09249e-05	
1.25	-0.000134826 0.0163627 -7.09308e-05	
1.26	-0.000134823 0.0163627 -7.09388e-05	
1.27	-0.000134821 0.0163627 -7.09446e-05	
1.28	-0.000134818 0.0163627 -7.09524e-05	
1.29	-0.000134816 0.0163627 -7.09579e-05	
1.3	-0.000134813 0.0163627 -7.09655e-05	
1.31	-0.000134812 0.0163627 -7.09707e-05	
1.32	-0.000134808 0.0163628 -7.09786e-05	
1.33	-0.000134806 0.0163628 -7.09832e-05	
1.34	-0.000134803 0.0163628 -7.09901e-05	
1.35	-0.000134802 0.0163628 -7.09959e-05	
1.36	-0.000134799 0.0163628 -7.10024e-05	
1.37	-0.000134797 0.0163628 -7.10078e-05	
1.38	-0.000134795 0.0163628 -7.1014e-05	
1.39	-0.000134793 0.0163629 -7.10191e-05	
1.4	-0.000134791 0.0163629 -7.10249e-05	
1.41	-0.000134789 0.0163629 -7.10296e-05	
1.42	-0.000134787 0.0163629 -7.10351e-05	
1.43	-0.000134786 0.0163629 -7.10394e-05	
1.44	-0.000134784 0.0163629 -7.10444e-05	
1.45	-0.000134782 0.0163629 -7.10483e-05	
1.46	-0.000134779 0.0163629 -7.10535e-05	
1.47	-0.000134778 0.0163629 -7.10565e-05	
1.48	-0.000134776 0.016363 -7.10605e-05	
1.49	-0.000134775 0.016363 -7.10636e-05	
1.5	-0.000134772 0.016363 -7.10679e-05	
1.51	-0.000134771 0.016363 -7.107e-05	
1.52	-0.000134768 0.016363 -7.10738e-05	
1.53	-0.000134767 0.016363 -7.10755e-05	
1.54	-0.000134764 0.016363 -7.10788e-05	
1.55	-0.000134762 0.016363 -7.10802e-05	
1.56	-0.00013476 0.016363 -7.10832e-05	
1.57	-0.000134758 0.016363 -7.10842e-05	
1.58	-0.000134756 0.0163631 -7.10868e-05	
1.59	-0.000134754 0.0163631 -7.10875e-05	
1.6	-0.000134751 0.0163631 -7.10898e-05	
1.61	-0.00013475 0.0163631 -7.10902e-05	
1.62	-0.000134747 0.0163631 -7.10922e-05	
1.63	-0.000134746 0.0163631 -7.10924e-05	
1.64	-0.000134743 0.0163631 -7.10941e-05	
1.65	-0.000134742 0.0163631 -7.1094e-05	
1.66	-0.000134739 0.0163631 -7.10955e-05	
1.67	-0.000134737 0.0163631 -7.10952e-05	
1.68	-0.000134734 0.0163631 -7.10965e-05	
1.69	-0.000134733 0.0163632 -7.1096e-05	
1.7	-0.00013473 0.0163632 -7.1097e-05	
1.71	-0.000134729 0.0163632 -7.10965e-05	
1.72	-0.000134726 0.0163632 -7.10973e-05	
1.73	-0.000134724 0.0163632 -7.10966e-05	
1.74	-0.000134722 0.0163632 -7.10974e-05	
1.75	-0.00013472 0.0163632 -7.10966e-05	
1.76	-0.000134718 0.0163632 -7.10973e-05	
1.77	-0.000134716 0.0163632 -7.10964e-05	
1.78	-0.000134713 0.0163632 -7.10971e-05	
1.79	-0.000134712 0.0163632 -7.10962e-05	
1.8	-0.000134709 0.0163632 -7.10968e-05	
1.81	-0.000134708 0.0163633 -7.1096e-05	
1.82	-0.000134705 0.0163633 -7.10966e-05	
1.83	-0.000134704 0.0163633 -7.10958e-05	
1.84	-0.000134701 0.0163633 -7.10965e-05	
1.85	-0.0001347 0.0163633 -7.10957e-05	
1.86	-0.000134697 0.0163633 -7.10964e-05	
1.87	-0.000134696 0.0163633 -7.10957e-05	
1.88	-0.000134693 0.0163633 -7.10964e-05	
1.89	-0.000134692 0.0163633 -7.10958e-05	
1.9	-0.00013469 0.0163633 -7.10966e-05	
1.91	-0.000134688 0.0163633 -7.1096e-05	
1.92	-0.000134686 0.0163633 -7.10968e-05	
1.93	-0.000134684 0.0163634 -7.10972e-05	
1.94	-0.000134683 0.0163634 -7.10969e-05	
1.95	-0.00013468 0.0163634 -7.10978e-05	
1.96	-0.000134679 0.0163634 -7.10975e-05	
1.97	-0.000134676 0.0163634 -7.10985e-05	
1.98	-0.000134674 0.0163634 -7.10991e-05	
1.99	-0.000134673 0.0163634 -7.1099e-05	
2	-0.000134671 0.0163634 -7.11002e-05	
2.01	-0.000134669 0.0163634 -7.11001e-05	
2.02	-0.000134667 0.0163634 -7.11013e-05	
2.03	-0.000134666 0.0163634 -7.11013e-05	
2.04	-0.000134663 0.0163635 -7.11026e-05	
2.05	-0.000134661 0.0163635 -7.11036e-05	
2.06	-0.00013466 0.0163635 -7.11039e-05	
2.07	-0.000134658 0.0163635 -7.11053e-05	
2.08	-0.000134656 0.0163635 -7.11057e-05	
2.09	-0.000134654 0.0163635 -7.11072e-05	
2.1	-0.000134652 0.0163635 -7.11083e-05	
2.11	-0.000134651 0.0163635 -7.11089e-05	
2.12	-0.000134648 0.0163635 -7.11105e-05	
2.13	-0.000134647 0.0163635 -7.11111e-05	
2.14	-0.000134645 0.0163635 -7.11128e-05	
2.15	-0.000134643 0.0163636 -7.11141e-05	
2.16	-0.000134642 0.0163636 -7.11147e-05	
2.17	-0.000134639 0.0163636 -7.11165e-05	
2.18	-0.000134637 0.0163636 -7.11179e-05	
2.19	-0.000134637 0.0163636 -7.11186e-05	
2.2	-0.000134634 0.0163636 -7.11204e-05	
2.21	-0.000134632 0.0163636 -7.11218e-05	
2.22	-0.000134631 0.0163636 -7.11225e-05	
2.23	-0.000134629 0.0163636 -7.11244e-05	
2.24	-0.000134627 0.0163636 -7.11258e-05	
2.25	-0.000134626 0.0163636 -7.11265e-05	
2.26	-0.000134624 0.0163637 -7.11284e-05	
2.27	-0.000134622 0.0163637 -7.11298e-05	
2.28	-0.000134621 0.0163637 -7.11306e-05	
2.29	-0.000134619 0.0163637 -7.11324e-05	
2.3	-0.000134617 0.0163637 -7.11339e-05	
2.31	-0.000134616 0.0163637 -7.11346e-05	
2.32	-0.000134614 0.0163637 -7.11365e-05	
2.33	-0.000134612 0.0163637 -7.11379e-05	
2.34	-0.000134611 0.0163637 -7.11386e-05	
2.35	-0.000134609 0.0163637 -7.11405e-05	
2.36	-0.000134607 0.0163638 -7.11419e-05	
2.37	-0.000134606 0.0163638 -7.11426e-05	
2.38	-0.000134604 0.0163638 -7.11444e-05	
2.39	-0.000134602 0.0163638 -7.11458e-05	
2.4	-0.000134601 0.0163638 -7.11465e-05	
2.41	-0.000134599 0.0163638 -7.11483e-05	
2.42	-0.000134597 0.0163638 -7.11496e-05	
2.43	-0.000134597 0.0163638 -7.11502e-05	
2.44	-0.000134594 0.0163638 -7.1152e-05	
2.45	-0.000134593 0.0163638 -7.11533e-05	
2.46	-0.000134592 0.0163638 -7.11539e-05	
2.47	-0.00013459 0.0163639 -7.11557e-05	
2.48	-0.000134588 0.0163639 -7.11569e-05	
2.49	-0.000134587 0.0163639 -7.11576e-05	
2.5	-0.000134585 0.0163639 -7.1159e-05	
2.51	-0.000134583 0.0163639 -7.11601e-05	
2.52	-0.000134583 0.0163639 -7.11608e-05	
2.53	-0.000134581 0.0163639 -7.11621e-05	
2.54	-0.000134579 0.0163639 -7.11632e-05	
2.55	-0.000134578 0.0163639 -7.11638e-05	
2.56	-0.000134576 0.0163639 -7.11651e-05	
2.57	-0.000134575 0.016364 -7.11661e-05	
2.58	-0.000134574 0.016364 -7.11666e-05	
2.59	-0.000134572 0.016364 -7.11679e-05	
2.6	-0.00013457 0.016364 -7.11689e-05	
2.61	-0.000134569 0.016364 -7.11693e-05	
2.62	-0.000134568 0.016364 -7.11706e-05	
2.63	-0.000134566 0.016364 -7.11715e-05	
2.64	-0.000134565 0.016364 -7.11719e-05	
2.65	-0.000134563 0.016364 -7.11731e-05	
2.66	-0.000134562 0.016364 -7.11739e-05	
2.67	-0.000134561 0.016364 -7.11743e-05	
2.68	-0.000134559 0.0163641 -7.11754e-05	
2.69	-0.000134557 0.0163641 -7.11763e-05	
2.7	-0.000134556 0.0163641 -7.11766e-05	
2.71	-0.000134555 0.0163641 -7.11777e-05	
2.72	-0.000134553 0.0163641 -7.11785e-05	
2.73	-0.000134552 0.0163641 -7.11788e-05	
2.74	-0.00013455 0.0163641 -7.11799e-05	
2.75	-0.000134549 0.0163641 -7.11806e-05	
2.76	-0.000134547 0.0163641 -7.11813e-05	
2.77	-0.000134546 0.0163641 -7.11816e-05	
2.78	-0.000134545 0.0163641 -7.11826e-05	
2.79	-0.000134543 0.0163642 -7.11833e-05	
2.8	-0.000134542 0.0163642 -7.1184e-05	
2.81	-0.000134541 0.0163642 -7.11842e-05	
2.82	-0.000134539 0.0163642 -7.11852e-05	
2.83	-0.000134537 0.0163642 -7.1186e-05	
2.84	-0.000134536 0.0163642 -7.11866e-05	
2.85	-0.000134535 0.0163642 -7.11868e-05	
2.86	-0.000134533 0.0163642 -7.11878e-05	
2.87	-0.000134532 0.0163642 -7.11885e-05	
2.88	-0.00013453 0.0163642 -7.11892e-05	
2.89	-0.000134529 0.0163643 -7.11898e-05	
2.9	-0.000134528 0.0163643 -7.119e-05	
2.91	-0.000134526 0.0163643 -7.1191e-05	
2.92	-0.000134525 0.0163643 -7.11917e-05	
2.93	-0.000134523 0.0163643 -7.11924e-05	
2.94	-0.000134522 0.0163643 -7.1193e-05	
2.95	-0.000134521 0.0163643 -7.11936e-05	
2.96	-0.000134519 0.0163643 -7.11943e-05	
2.97	-0.000134518 0.0163643 -7.11949e-05	
2.98	-0.000134516 0.0163643 -7.11956e-05	
2.99	-0.000134515 0.0163643 -7.11962e-05	
3	-0.000134514 0.0163644 -7.11968e-05	
3.01	-0.000134512 0.0163644 -7.11975e-05	
3.02	-0.000134511 0.0163644 -7.11982e-05	
3.03	-0.000134509 0.0163644 -7.11988e-05	
3.04	-0.000134508 0.0163644 -7.11995e-05	
3.05	-0.000134507 0.0163644 -7.12002e-05	
3.06	-0.000134505 0.0163644 -7.12008e-05	
3.07	-0.000134504 0.0163644 -7.12015e-05	
3.08	-0.000134502 0.0163644 -7.12022e-05	
3.09	-0.000134501 0.0163644 -7.12029e-05	
3.1	-0.0001345 0.0163644 -7.12035e-05	
3.11	-0.000134498 0.0163645 -7.12042e-05	
3.12	-0.000134497 0.0163645 -7.12049e-05	
3.13	-0.000134496 0.0163645 -7.12056e-05	
3.14	-0.000134494 0.0163645 -7.12063e-05	
3.15	-0.000134493 0.0163645 -7.1207e-05	
3.16	-0.000134491 0.0163645 -7.12077e-05	
3.17	-0.00013449 0.0163645 -7.12084e-05	
3.18	-0.000134489 0.0163645 -7.12092e-05	
3.19	-0.000134487 0.0163645 -7.12099e-05	
3.2	-0.000134486 0.0163645 -7.12106e-05	
3.21	-0.000134485 0.0163645 -7.12113e-05	
3.22	-0.000134483 0.0163646 -7.1212e-05	
3.23	-0.000134482 0.0163646 -7.12128e-05	
3.24	-0.00013448 0.0163646 -7.12135e-05	
3.25	-0.000134479 0.0163646 -7.12142e-05	
3.26	-0.000134478 0.0163646 -7.12149e-05	
3.27	-0.000134476 0.0163646 -7.12157e-05	
3.28	-0.000134475 0.0163646 -7.12164e-05	
3.29	-0.000134474 0.0163646 -7.12172e-05	
3.3	-0.000134472 0.0163646 -7.12179e-05	
3.31	-0.000134471 0.0163646 -7.12186e-05	
3.32	-0.00013447 0.0163647 -7.12194e-05	
3.33	-0.000134468 0.0163647 -7.12201e-05	
3.34	-0.000134467 0.0163647 -7.12209e-05	
3.35	-0.000134466 0.0163647 -7.12216e-05	
3.36	-0.000134464 0.0163647 -7.12223e-05	
3.37	-0.000134463 0.0163647 -7.12231e-05	
3.38	-0.000134462 0.0163647 -7.12238e-05	
3.39	-0.00013446 0.0163647 -7.12246e-05	
3.4	-0.000134459 0.0163647 -7.12253e-05	
3.41	-0.000134458 0.0163647 -7.12261e-05	
3.42	-0.000134456 0.0163647 -7.12268e-05	
3.43	-0.000134455 0.0163648 -7.12275e-05	
3.44	-0.000134454 0.0163648 -7.12283e-05	
3.45	-0.000134452 0.0163648 -7.1229e-05	
3.46	-0.000134451 0.0163648 -7.12298e-05	
3.47	-0.000134449 0.0163648 -7.12311e-05	
3.48	-0.000134447 0.0163648 -7.12319e-05	
3.49	-0.000134446 0.0163648 -7.12318e-05	
3.5	-0.000134444 0.0163648 -7.12333e-05	
3.51	-0.000134442 0.0163648 -7.12343e-05	
3.52	-0.000134441 0.0163648 -7.1234e-05	
3.53	-0.000134438 0.0163649 -7.12356e-05	
3.54	-0.000134437 0.0163649 -7.12365e-05	
3.55	-0.000134435 0.0163649 -7.12373e-05	
3.56	-0.000134434 0.0163649 -7.12375e-05	
3.57	-0.000134433 0.0163649 -7.12387e-05	
3.58	-0.000134431 0.0163649 -7.12395e-05	
3.59	-0.00013443 0.0163649 -7.12403e-05	
3.6	-0.000134428 0.0163649 -7.12403e-05	
3.61	-0.000134427 0.0163649 -7.12414e-05	
3.62	-0.000134425 0.0163649 -7.12423e-05	
3.63	-0.000134424 0.0163649 -7.1243e-05	
3.64	-0.000134422 0.016365 -7.12429e-05	
3.65	-0.00013442 0.016365 -7.1244e-05	
3.66	-0.000134419 0.016365 -7.12449e-05	
3.67	-0.000134417 0.016365 -7.12456e-05	
3.68	-0.000134416 0.016365 -7.12463e-05	
3.69	-0.000134414 0.016365 -7.12461e-05	
3.7	-0.000134412 0.016365 -7.12472e-05	
3.71	-0.00013441 0.016365 -7.12479e-05	
3.72	-0.000134408 0.016365 -7.12485e-05	
3.73	-0.000134406 0.016365 -7.12489e-05	
3.74	-0.000134404 0.0163651 -7.12494e-05	
3.75	-0.000134402 0.0163651 -7.12498e-05	
3.76	-0.0001344 0.0163651 -7.12502e-05	
3.77	-0.000134397 0.0163651 -7.12506e-05	
3.78	-0.000134395 0.0163651 -7.12509e-05	
3.79	-0.000134392 0.0163651 -7.12512e-05	
3.8	-0.00013439 0.0163651 -7.12515e-05	
3.81	-0.000134387 0.0163651 -7.12518e-05	
3.82	-0.000134385 0.0163651 -7.12521e-05	
3.83	-0.000134382 0.0163651 -7.12523e-05	
